               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12829,            0.084233,            0.047109,                   0,                   0,                   0,                   0,             0.12492,            0.067358,            0.046346,              0.0919,              0.0009,              0.0009
                   1,             0.12002,            0.091424,            0.045543,           0.0033784,           0.0019685,           0.0018641,          0.00018641,             0.11376,            0.072442,            0.043407,            0.082824,            0.001824,            0.001824
                   2,             0.11299,            0.088333,            0.044577,            0.045568,            0.046928,            0.016105,           0.0036795,             0.10577,            0.063817,            0.041165,            0.073668,            0.002668,            0.002668
                   3,             0.10659,            0.087607,            0.040252,            0.074982,             0.13934,            0.032017,           0.0075433,             0.10398,            0.065503,            0.038871,            0.064432,            0.003432,            0.003432
                   4,            0.094133,            0.083461,            0.038918,             0.29303,            0.081329,            0.031089,            0.009067,            0.098127,            0.099277,            0.038663,            0.055116,            0.004116,            0.004116
                   5,             0.08967,             0.08921,            0.037316,            0.084533,             0.31735,              0.1066,            0.030389,              0.1036,            0.078669,            0.036231,             0.04572,             0.00472,             0.00472
                   6,            0.087129,            0.088547,            0.037496,             0.34395,             0.31164,             0.10979,            0.028614,            0.077378,            0.063986,            0.034581,            0.036244,            0.005244,            0.005244
                   7,            0.084196,            0.084728,            0.035925,            0.046865,             0.43835,            0.079679,            0.024977,             0.10464,            0.062771,            0.033573,            0.026688,            0.005688,            0.005688
                   8,            0.078615,            0.081391,            0.036569,             0.34349,             0.26516,             0.10127,            0.028748,              0.0719,            0.055642,            0.033353,            0.017052,            0.006052,            0.006052
                   9,            0.076413,            0.082545,            0.034083,             0.32441,             0.31167,            0.087068,            0.029597,            0.080947,            0.050666,            0.032573,            0.007336,            0.006336,            0.006336
                  10,            0.076125,            0.080373,            0.035107,             0.40528,             0.39042,             0.21344,            0.078013,            0.061068,            0.051726,            0.032121,               0.006,               0.006,               0.006
                  11,            0.068466,            0.083091,            0.034428,             0.32007,             0.35899,            0.084821,            0.016661,            0.087072,            0.050941,            0.031746,               0.006,               0.006,               0.006
                  12,            0.071109,            0.081452,            0.034411,             0.39324,             0.39681,             0.19952,            0.066658,            0.077463,            0.048934,            0.031124,              0.0056,              0.0056,              0.0056
                  13,            0.065787,            0.082063,            0.033475,             0.41261,             0.47602,             0.24345,            0.091172,            0.061108,            0.047391,            0.030153,              0.0052,              0.0052,              0.0052
                  14,            0.063288,            0.077031,            0.031158,             0.41591,             0.44709,             0.25481,            0.084251,            0.059172,             0.04661,            0.029118,              0.0048,              0.0048,              0.0048
                  15,            0.059495,            0.080596,            0.032615,             0.46348,             0.49479,             0.34441,             0.11941,            0.058241,            0.046049,            0.028105,              0.0044,              0.0044,              0.0044
                  16,            0.056646,            0.080048,            0.030273,             0.52281,             0.50525,             0.37932,             0.15815,            0.055547,            0.045856,            0.027702,               0.004,               0.004,               0.004
                  17,            0.054146,            0.074089,            0.030105,             0.62288,             0.53829,             0.47422,              0.1872,            0.053097,            0.045345,            0.026776,              0.0036,              0.0036,              0.0036
                  18,            0.053673,             0.07621,            0.029585,             0.67999,             0.56456,             0.52634,             0.21504,            0.051617,            0.045015,            0.026345,              0.0032,              0.0032,              0.0032
                  19,            0.048006,            0.077903,            0.028555,              0.5871,             0.55651,             0.45309,             0.19047,            0.054211,            0.046325,             0.02553,              0.0028,              0.0028,              0.0028
